Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Vladimir Radmanovic,2009-10,29,GSW,NBA,PF,33,20,758,4.2,11.0,.385,1.1,4.1,.267,3.1,6.9,.455,0.8,1.0,.762,2.0,5.0,7.1,1.8,1.2,0.3,1.9,3.8,10.3
Vladimir Radmanovic,2010-11,30,GSW,NBA,PF,74,6,1169,4.2,9.8,.431,2.2,5.3,.405,2.1,4.5,.462,0.9,1.0,.882,2.0,4.6,6.5,2.4,1.4,1.4,1.8,4.8,11.5
Reggie Williams,2009-10,23,GSW,NBA,SF,24,10,782,6.4,13.0,.495,1.5,4.2,.359,4.9,8.8,.560,2.4,2.9,.839,0.8,4.2,5.1,3.0,1.1,0.3,1.3,2.3,16.8
Reggie Williams,2010-11,24,GSW,NBA,SF,80,9,1626,5.9,12.7,.469,2.3,5.3,.423,3.7,7.3,.502,2.2,3.0,.746,1.0,3.8,4.8,2.7,0.6,0.1,1.3,2.7,16.3
Devean George,2009-10,32,GSW,NBA,SF,45,4,761,4.2,9.7,.432,2.3,5.8,.390,1.9,3.9,.494,0.8,1.1,.696,1.0,4.4,5.4,1.5,1.9,0.5,0.7,4.2,11.4
Chris Hunter,2009-10,25,GSW,NBA,C,60,9,783,5.0,10.0,.502,0.0,0.2,.000,5.0,9.8,.512,2.4,3.2,.754,2.6,5.1,7.7,1.7,0.6,1.6,1.4,6.1,12.4
Corey Maggette,2009-10,30,GSW,NBA,PF,70,49,2081,7.9,15.3,.516,0.2,0.9,.260,7.7,14.5,.531,8.0,9.5,.835,1.6,4.9,6.5,3.0,0.9,0.1,2.9,4.0,24.0
Anthony Morrow,2009-10,24,GSW,NBA,SG,69,37,2018,5.9,12.5,.468,2.5,5.5,.456,3.4,7.1,.477,1.8,2.0,.886,1.1,3.5,4.6,1.9,1.2,0.3,1.5,2.8,16.0
Anthony Tolliver,2009-10,24,GSW,NBA,PF,44,29,1423,4.9,11.3,.431,1.3,3.8,.331,3.6,7.5,.481,2.6,3.4,.769,2.1,5.9,8.1,2.2,0.8,0.8,1.2,3.2,13.6
Ronny Turiaf,2009-10,27,GSW,NBA,C,42,20,872,3.5,6.0,.582,0.0,0.0,.000,3.5,6.0,.586,1.5,3.2,.474,2.2,5.7,7.9,3.7,0.9,2.2,2.0,4.0,8.5
C.J. Watson,2009-10,25,GSW,NBA,PG,65,15,1788,5.0,10.6,.468,0.9,2.9,.310,4.1,7.7,.527,2.6,3.3,.771,0.6,2.8,3.4,3.6,2.1,0.2,1.4,2.5,13.4
