,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
10,Shot Chart Detail,0021500083,174,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,8,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,15,1,0
11,Shot Chart Detail,0021500083,451,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,7,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,46,1,0
12,Shot Chart Detail,0021500187,395,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,11,16,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-37,97,1,1
13,Shot Chart Detail,0021500200,165,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,8,20,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,14,1,1
14,Shot Chart Detail,0021500200,186,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,6,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,23,1,0
15,Shot Chart Detail,0021500200,190,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,5,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,42,164,1,1
16,Shot Chart Detail,0021500268,148,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,9,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,0
17,Shot Chart Detail,0021500268,160,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,8,46,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
18,Shot Chart Detail,0021500268,478,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,2,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,8,1,0
19,Shot Chart Detail,0021500268,485,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,2,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1
20,Shot Chart Detail,0021500268,488,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,2,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,8,1,0
21,Shot Chart Detail,0021500268,511,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,0,35,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
22,Shot Chart Detail,0021500290,420,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,9,36,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,46,1,0
23,Shot Chart Detail,0021500300,525,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,0,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,9,75,1,0
24,Shot Chart Detail,0021500336,409,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,1,47,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1
25,Shot Chart Detail,0021500336,419,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,0,46,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1
26,Shot Chart Detail,0021500336,421,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,0,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,6,72,1,0
27,Shot Chart Detail,0021500336,435,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,10,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,31,1,0
28,Shot Chart Detail,0021500381,496,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,1,35,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,61,1,1
29,Shot Chart Detail,0021500397,364,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,3,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
30,Shot Chart Detail,0021500397,427,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,10,46,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,51,90,1,1
31,Shot Chart Detail,0021500468,196,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,8,22,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1
32,Shot Chart Detail,0021500468,466,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,8,18,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-7,90,1,0
33,Shot Chart Detail,0021500468,493,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,6,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
34,Shot Chart Detail,0021500468,513,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,4,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1
35,Shot Chart Detail,0021500468,539,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,3,43,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,33,1,0
36,Shot Chart Detail,0021500468,568,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,0,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0
37,Shot Chart Detail,0021500485,127,203949,James Michael McAdoo,1610612744,Golden State Warriors,1,1,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1
38,Shot Chart Detail,0021500485,416,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,2,34,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,26,1,0
39,Shot Chart Detail,0021500485,432,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,0,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
40,Shot Chart Detail,0021500895,255,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,0,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,31,1,0
41,Shot Chart Detail,0021500895,331,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,3,47,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,21,1,0
42,Shot Chart Detail,0021500895,336,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,3,12,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
43,Shot Chart Detail,0021500931,258,203949,James Michael McAdoo,1610612744,Golden State Warriors,2,0,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,-1,1,1
44,Shot Chart Detail,0021500931,484,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,4,16,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,7,1,0
45,Shot Chart Detail,0021500931,525,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,1,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1
46,Shot Chart Detail,0021500931,529,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,0,50,Missed Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,0
47,Shot Chart Detail,0021500931,530,203949,James Michael McAdoo,1610612744,Golden State Warriors,4,0,44,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,8,1,0
48,Shot Chart Detail,0021500943,333,203949,James Michael McAdoo,1610612744,Golden State Warriors,3,6,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,0
